iter	Logloss
0	0.6617324825
1	0.6351004266
2	0.6110569892
3	0.5900530593
4	0.569363469
5	0.5525495762
6	0.5377178393
7	0.5269077009
8	0.5177421065
9	0.5108431863
10	0.5006359565
11	0.4914583556
12	0.4844455921
13	0.4772733757
14	0.4718204129
15	0.4676320755
16	0.4625557057
17	0.4571963687
18	0.4548585674
19	0.4507094262
20	0.4476582023
21	0.444249528
22	0.4411363076
23	0.4379593983
24	0.4355748804
25	0.4328986926
26	0.4311665669
27	0.4294167012
28	0.4271464823
29	0.4248314904
30	0.4230275123
31	0.4216676653
32	0.4199034429
33	0.4183418961
34	0.4174723274
35	0.4159365738
36	0.4142818477
37	0.4127385033
38	0.411907135
39	0.4104905048
40	0.4092485536
41	0.4085218453
42	0.4076592435
43	0.4070963054
44	0.4060894343
45	0.405197808
46	0.4042082907
47	0.4034271682
48	0.4024397388
49	0.401413804
50	0.4006253493
51	0.4005054314
52	0.40030069
53	0.399626269
54	0.3990214742
55	0.3983797836
56	0.3979156452
57	0.3977165712
58	0.3975401763
59	0.3971611793
60	0.396972223
61	0.3967348656
62	0.3960578862
63	0.3956214617
64	0.3951767587
65	0.3946956865
66	0.3942562856
67	0.3941280537
68	0.3940564127
69	0.3937947087
70	0.3934266791
71	0.3931328472
72	0.392593201
73	0.3925925728
74	0.3923152554
75	0.3920890208
76	0.3916621778
77	0.3913110496
78	0.3909778333
79	0.390749448
80	0.3906362127
81	0.3904152712
82	0.3902102223
83	0.3898659151
84	0.3897383748
85	0.3894219059
86	0.3892633858
87	0.3889991739
88	0.3883096009
89	0.3880984717
90	0.3879070403
91	0.3876899498
92	0.3874293611
93	0.3873548377
94	0.3872206127
95	0.3866878702
96	0.3865832459
97	0.3861884822
98	0.3860672193
