iter	Passed	Remaining
0	30	30564
1	67	33893
2	106	35256
3	140	34959
4	175	34872
5	211	35004
6	247	35083
7	281	34893
8	302	33300
9	321	31820
10	358	32249
11	393	32390
12	417	31679
13	454	32032
14	488	32096
15	524	32283
16	562	32538
17	597	32587
18	609	31485
19	643	31553
20	674	31424
21	703	31290
22	733	31137
23	765	31141
24	791	30864
25	822	30824
26	854	30781
27	888	30831
28	919	30786
29	950	30748
30	982	30723
31	1013	30650
32	1044	30600
33	1077	30619
34	1118	30839
35	1152	30873
36	1189	30954
37	1221	30927
38	1253	30888
39	1288	30927
40	1326	31027
41	1357	30964
42	1393	31010
43	1424	30951
44	1459	30977
45	1495	31020
46	1530	31035
47	1587	31479
48	1634	31721
49	1667	31690
50	1701	31657
51	1713	31239
52	1741	31122
53	1773	31064
54	1803	30994
55	1836	30950
56	1865	30867
57	1882	30581
58	1914	30537
59	1950	30563
60	1982	30522
61	2014	30471
62	2044	30414
63	2075	30348
64	2108	30332
65	2143	30328
66	2175	30291
67	2206	30236
68	2222	29988
69	2253	29940
70	2285	29899
71	2316	29862
72	2348	29819
73	2356	29487
74	2391	29496
75	2450	29798
76	2482	29760
77	2513	29714
78	2545	29672
79	2578	29654
80	2598	29476
81	2624	29378
82	2655	29337
83	2686	29292
84	2716	29241
85	2747	29204
86	2779	29165
87	2812	29146
88	2844	29116
89	2876	29084
90	2907	29042
91	2941	29028
92	2972	28992
93	2983	28756
94	3014	28715
95	3047	28698
96	3080	28675
97	3108	28615
98	3142	28599
