CUSTOMER_ID,GENDER,SENIOR_CITIZEN,PARTNER,DEPENDENTS,TENURE,PHONE_SERVICE,MULTIPLE_LINES,INTERNET_SERVICE,ONLINE_SECURITY,ONLINE_BACKUP,DEVICE_PROTECTION,TECH_SUPPORT,STREAMING_TV,STREAMING_MOVIES,CONTRACT,PAPERLESS_BILLING,PAYMENT_METHOD,MONTHLY_CHARGES,TOTAL_CHARGES,CHURN
7590-VHVEG,female,no,yes,no,1,no,no_phone_service,dsl,no,yes,no,no,no,no,month_to_month,yes,electronic_check,29.85,29.85,no
5575-GNVDE,male,no,no,no,34,yes,no,dsl,yes,no,yes,no,no,no,one_year,no,mailed_check,56.95,1889.5,no
3668-QPYBK,male,no,no,no,2,yes,no,dsl,yes,yes,no,no,no,no,month_to_month,yes,mailed_check,53.85,108.15,yes
7795-CFOCW,male,no,no,no,45,no,no_phone_service,dsl,yes,no,yes,yes,no,no,one_year,no,bank_transfer_automatic,42.3,1840.75,no
9237-HQITU,female,no,no,no,2,yes,no,fiber_optic,no,no,no,no,no,no,month_to_month,yes,electronic_check,70.7,151.65,yes
9305-CDSKC,female,no,no,no,8,yes,yes,fiber_optic,no,no,yes,no,yes,yes,month_to_month,yes,electronic_check,99.65,820.5,yes
1452-KIOVK,male,no,no,yes,22,yes,yes,fiber_optic,no,yes,no,no,yes,no,month_to_month,yes,credit_card_automatic,89.1,1949.4,no
6713-OKOMC,female,no,no,no,10,no,no_phone_service,dsl,yes,no,no,no,no,no,month_to_month,no,mailed_check,29.75,301.9,no
7892-POOKP,female,no,yes,no,28,yes,yes,fiber_optic,no,no,yes,yes,yes,yes,month_to_month,yes,electronic_check,104.8,3046.05,yes
6388-TABGU,male,no,no,yes,62,yes,no,dsl,yes,yes,no,no,no,no,one_year,no,bank_transfer_automatic,56.15,3487.95,no
9763-GRSKD,male,no,yes,yes,13,yes,no,dsl,yes,no,no,no,no,no,month_to_month,yes,mailed_check,49.95,587.45,no
7469-LKBCI,male,no,no,no,16,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,credit_card_automatic,18.95,326.8,no
8091-TTVAX,male,no,yes,no,58,yes,yes,fiber_optic,no,no,yes,no,yes,yes,one_year,no,credit_card_automatic,100.35,5681.1,no
0280-XJGEX,male,no,no,no,49,yes,yes,fiber_optic,no,yes,yes,no,yes,yes,month_to_month,yes,bank_transfer_automatic,103.7,5036.3,yes
5129-JLPIS,male,no,no,no,25,yes,no,fiber_optic,yes,no,yes,yes,yes,yes,month_to_month,yes,electronic_check,105.5,2686.05,no
3655-SNQYZ,female,no,yes,yes,69,yes,yes,fiber_optic,yes,yes,yes,yes,yes,yes,two_year,no,credit_card_automatic,113.25,7895.15,no
8191-XWSZG,female,no,no,no,52,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,mailed_check,20.65,1022.95,no
9959-WOFKT,male,no,no,yes,71,yes,yes,fiber_optic,yes,no,yes,no,yes,yes,two_year,no,bank_transfer_automatic,106.7,7382.25,no
4190-MFLUW,female,no,yes,yes,10,yes,no,dsl,no,no,yes,yes,no,no,month_to_month,no,credit_card_automatic,55.2,528.35,yes
4183-MYFRB,female,no,no,no,21,yes,no,fiber_optic,no,yes,yes,no,no,yes,month_to_month,yes,electronic_check,90.05,1862.9,no
8779-QRDMV,male,yes,no,no,1,no,no_phone_service,dsl,no,no,yes,no,no,yes,month_to_month,yes,electronic_check,39.65,39.65,yes
1680-VDCWW,male,no,yes,no,12,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,bank_transfer_automatic,19.8,202.25,no
1066-JKSGK,male,no,no,no,1,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month_to_month,no,mailed_check,20.15,20.15,yes
3638-WEABW,female,no,yes,no,58,yes,yes,dsl,no,yes,no,yes,no,no,two_year,yes,credit_card_automatic,59.9,3505.1,no
6322-HRPFA,male,no,yes,yes,49,yes,no,dsl,yes,yes,no,yes,no,no,month_to_month,no,credit_card_automatic,59.6,2970.3,no
6865-JZNKO,female,no,no,no,30,yes,no,dsl,yes,yes,no,no,no,no,month_to_month,yes,bank_transfer_automatic,55.3,1530.6,no
6467-CHFZW,male,no,yes,yes,47,yes,yes,fiber_optic,no,yes,no,no,yes,yes,month_to_month,yes,electronic_check,99.35,4749.15,yes
8665-UTDHZ,male,no,yes,yes,1,no,no_phone_service,dsl,no,yes,no,no,no,no,month_to_month,no,electronic_check,30.2,30.2,yes
5248-YGIJN,male,no,yes,no,72,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two_year,yes,credit_card_automatic,90.25,6369.45,no
8773-HHUOZ,female,no,no,yes,17,yes,no,dsl,no,no,no,no,yes,yes,month_to_month,yes,mailed_check,64.7,1093.1,yes
3841-NFECX,female,yes,yes,no,71,yes,yes,fiber_optic,yes,yes,yes,yes,no,no,two_year,yes,credit_card_automatic,96.35,6766.95,no
4929-XIHVW,male,yes,yes,no,2,yes,no,fiber_optic,no,no,yes,no,yes,yes,month_to_month,yes,credit_card_automatic,95.5,181.65,no
6827-IEAUQ,female,no,yes,yes,27,yes,no,dsl,yes,yes,yes,yes,no,no,one_year,no,mailed_check,66.15,1874.45,no
7310-EGVHZ,male,no,no,no,1,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month_to_month,no,bank_transfer_automatic,20.2,20.2,no
3413-BMNZE,male,yes,no,no,1,yes,no,dsl,no,no,no,no,no,no,month_to_month,no,bank_transfer_automatic,45.25,45.25,no
6234-RAAPL,female,no,yes,yes,72,yes,yes,fiber_optic,yes,yes,no,yes,yes,no,two_year,no,bank_transfer_automatic,99.9,7251.7,no
6047-YHPVI,male,no,no,no,5,yes,no,fiber_optic,no,no,no,no,no,no,month_to_month,yes,electronic_check,69.7,316.9,yes
6572-ADKRS,female,no,no,no,46,yes,no,fiber_optic,no,no,yes,no,no,no,month_to_month,yes,credit_card_automatic,74.8,3548.3,no
5380-WJKOV,male,no,no,no,34,yes,yes,fiber_optic,no,yes,yes,no,yes,yes,month_to_month,yes,electronic_check,106.35,3549.25,yes
8168-UQWWF,female,no,no,no,11,yes,yes,fiber_optic,no,no,yes,no,yes,yes,month_to_month,yes,bank_transfer_automatic,97.85,1105.4,yes
8865-TNMNX,male,no,yes,yes,10,yes,no,dsl,no,yes,no,no,no,no,one_year,no,mailed_check,49.55,475.7,no
9489-DEDVP,female,no,yes,yes,70,yes,yes,dsl,yes,yes,no,no,yes,no,two_year,yes,credit_card_automatic,69.2,4872.35,no
9867-JCZSP,female,no,yes,yes,17,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,mailed_check,20.75,418.25,no
4671-VJLCL,female,no,no,no,63,yes,yes,dsl,yes,yes,yes,yes,yes,no,two_year,yes,credit_card_automatic,79.85,4861.45,no
4080-IIARD,female,no,yes,no,13,yes,yes,dsl,yes,yes,no,yes,yes,no,month_to_month,yes,electronic_check,76.2,981.45,no
3714-NTNFO,female,no,no,no,49,yes,yes,fiber_optic,no,no,no,no,no,yes,month_to_month,yes,electronic_check,84.5,3906.7,no
5948-UJZLF,male,no,no,no,2,yes,no,dsl,no,yes,no,no,no,no,month_to_month,no,mailed_check,49.25,97.0,no
7760-OYPDY,female,no,no,no,2,yes,no,fiber_optic,no,no,no,no,yes,no,month_to_month,yes,electronic_check,80.65,144.15,yes
7639-LIAYI,male,no,no,no,52,yes,yes,dsl,yes,no,no,yes,yes,yes,two_year,yes,credit_card_automatic,79.75,4217.8,no
2954-PIBKO,female,no,yes,yes,69,yes,yes,dsl,yes,no,yes,yes,no,no,two_year,yes,credit_card_automatic,64.15,4254.1,no
8012-SOUDQ,female,yes,no,no,43,yes,yes,fiber_optic,no,yes,no,no,yes,no,month_to_month,yes,electronic_check,90.25,3838.75,no
9420-LOJKX,female,no,no,no,15,yes,no,fiber_optic,yes,yes,no,no,yes,yes,month_to_month,yes,credit_card_automatic,99.1,1426.4,yes
6575-SUVOI,female,yes,yes,no,25,yes,yes,dsl,yes,no,no,yes,yes,no,month_to_month,yes,credit_card_automatic,69.5,1752.65,no
7495-OOKFY,female,yes,yes,no,8,yes,yes,fiber_optic,no,yes,no,no,no,no,month_to_month,yes,credit_card_automatic,80.65,633.3,yes
4667-QONEA,female,yes,yes,yes,60,yes,no,dsl,yes,yes,yes,yes,no,yes,one_year,yes,credit_card_automatic,74.85,4456.35,no
1658-BYGOY,male,yes,no,no,18,yes,yes,fiber_optic,no,no,no,no,yes,yes,month_to_month,yes,electronic_check,95.45,1752.55,yes
8769-KKTPH,female,no,yes,yes,63,yes,yes,fiber_optic,yes,no,no,no,yes,yes,one_year,yes,credit_card_automatic,99.65,6311.2,no
5067-XJQFU,male,yes,yes,yes,66,yes,yes,fiber_optic,no,yes,yes,yes,yes,yes,one_year,yes,electronic_check,108.45,7076.35,no
3957-SQXML,female,no,yes,yes,34,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,credit_card_automatic,24.95,894.3,no
5954-BDFSG,female,no,no,no,72,yes,yes,fiber_optic,no,no,yes,yes,yes,yes,two_year,yes,credit_card_automatic,107.5,7853.7,no
0434-CSFON,female,no,yes,no,47,yes,yes,fiber_optic,no,no,yes,no,yes,yes,month_to_month,yes,electronic_check,100.5,4707.1,no
1215-FIGMP,male,no,no,no,60,yes,yes,fiber_optic,no,yes,no,no,yes,no,month_to_month,yes,bank_transfer_automatic,89.9,5450.7,no
0526-SXDJP,male,no,yes,no,72,no,no_phone_service,dsl,yes,yes,yes,no,no,no,two_year,no,bank_transfer_automatic,42.1,2962.0,no
0557-ASKVU,female,no,yes,yes,18,yes,no,dsl,no,no,yes,yes,no,no,one_year,yes,credit_card_automatic,54.4,957.1,no
5698-BQJOH,female,no,no,no,9,yes,yes,fiber_optic,no,no,no,no,yes,yes,month_to_month,no,electronic_check,94.4,857.25,yes
5122-CYFXA,female,no,no,no,3,yes,no,dsl,no,yes,no,yes,yes,yes,month_to_month,yes,electronic_check,75.3,244.1,no
8627-ZYGSZ,male,no,yes,no,47,yes,yes,fiber_optic,no,yes,no,no,no,no,one_year,yes,electronic_check,78.9,3650.35,no
3410-YOQBQ,female,no,no,no,31,yes,no,dsl,no,yes,yes,yes,yes,yes,two_year,no,mailed_check,79.2,2497.2,no
3170-NMYVV,female,no,yes,yes,50,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,bank_transfer_automatic,20.15,930.9,no
7410-OIEDU,male,no,no,no,10,yes,no,fiber_optic,yes,no,yes,no,no,no,month_to_month,yes,mailed_check,79.85,887.35,no
2273-QCKXA,male,no,no,no,1,yes,no,dsl,no,no,no,yes,no,no,month_to_month,no,mailed_check,49.05,49.05,no
0731-EBJQB,female,no,yes,yes,52,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,yes,electronic_check,20.4,1090.65,no
1891-QRQSA,male,yes,yes,yes,64,yes,yes,fiber_optic,yes,no,yes,yes,yes,yes,two_year,yes,bank_transfer_automatic,111.6,7099.0,no
8028-PNXHQ,male,no,yes,yes,62,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,bank_transfer_automatic,24.25,1424.6,no
5630-AHZIL,female,no,no,yes,3,yes,no,dsl,yes,no,no,yes,no,yes,month_to_month,yes,bank_transfer_automatic,64.5,177.4,no
2673-CXQEU,female,yes,no,no,56,yes,yes,fiber_optic,yes,yes,yes,no,yes,yes,one_year,no,electronic_check,110.5,6139.5,no
6416-JNVRK,female,no,no,no,46,yes,no,dsl,no,no,no,no,no,yes,one_year,no,credit_card_automatic,55.65,2688.85,no
5590-ZSKRV,female,no,yes,yes,8,yes,no,dsl,yes,yes,no,no,no,no,month_to_month,no,mailed_check,54.65,482.25,no
0191-ZHSKZ,male,yes,no,no,30,yes,no,dsl,yes,yes,no,no,yes,yes,month_to_month,yes,electronic_check,74.75,2111.3,no
3887-PBQAO,female,no,yes,yes,45,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,yes,credit_card_automatic,25.9,1216.6,no
5919-TMRGD,female,no,no,yes,1,yes,no,fiber_optic,no,no,no,no,yes,no,month_to_month,yes,electronic_check,79.35,79.35,yes
8108-UXRQN,female,no,yes,yes,11,no,no_phone_service,dsl,yes,no,no,no,yes,yes,month_to_month,no,electronic_check,50.55,565.35,no
9191-MYQKX,female,no,yes,no,7,yes,no,fiber_optic,no,no,yes,no,no,no,month_to_month,yes,bank_transfer_automatic,75.15,496.9,yes
9919-YLNNG,female,no,no,no,42,yes,no,fiber_optic,no,yes,yes,yes,yes,yes,month_to_month,yes,bank_transfer_automatic,103.8,4327.5,no
0318-ZOPWS,female,no,yes,no,49,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,bank_transfer_automatic,20.15,973.35,no
4445-ZJNMU,male,no,no,no,9,yes,yes,fiber_optic,no,yes,no,no,yes,yes,month_to_month,yes,credit_card_automatic,99.3,918.75,no
4808-YNLEU,female,no,yes,no,35,yes,no,dsl,yes,no,no,no,yes,no,one_year,yes,bank_transfer_automatic,62.15,2215.45,no
1862-QRWPE,female,no,yes,yes,48,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,bank_transfer_automatic,20.65,1057.0,no
2796-NNUFI,female,no,yes,yes,46,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,mailed_check,19.95,927.1,no
3016-KSVCP,male,no,yes,no,29,no,no_phone_service,dsl,no,no,no,no,yes,no,month_to_month,no,mailed_check,33.75,1009.25,no
4767-HZZHQ,male,no,yes,yes,30,yes,no,fiber_optic,no,yes,yes,no,no,no,month_to_month,no,bank_transfer_automatic,82.05,2570.2,no
2424-WVHPL,male,yes,no,no,1,yes,no,fiber_optic,no,no,no,yes,no,no,month_to_month,no,electronic_check,74.7,74.7,no
7233-PAHHL,male,no,yes,yes,66,yes,yes,dsl,yes,no,yes,yes,yes,yes,two_year,yes,mailed_check,84.0,5714.25,no
6067-NGCEU,female,no,no,no,65,yes,yes,fiber_optic,yes,yes,yes,no,yes,yes,month_to_month,yes,credit_card_automatic,111.05,7107.0,no
9848-JQJTX,male,no,no,no,72,yes,yes,fiber_optic,no,yes,yes,no,yes,yes,two_year,yes,bank_transfer_automatic,100.9,7459.05,no
8637-XJIVR,female,no,no,no,12,yes,yes,fiber_optic,yes,no,no,no,no,no,month_to_month,yes,electronic_check,78.95,927.35,yes
9803-FTJCG,male,no,yes,yes,71,yes,yes,dsl,yes,yes,no,yes,no,no,one_year,yes,credit_card_automatic,66.85,4748.7,no
0278-YXOOG,male,no,no,no,5,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month_to_month,no,mailed_check,21.05,113.85,yes
3212-KXOCR,male,no,no,no,52,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,bank_transfer_automatic,21.0,1107.2,no
4598-XLKNJ,female,yes,yes,no,25,yes,no,fiber_optic,no,yes,yes,no,yes,yes,month_to_month,yes,electronic_check,98.5,2514.5,yes
6380-ARCEH,male,no,no,no,1,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month_to_month,no,mailed_check,20.2,20.2,no
3679-XASPY,female,no,yes,yes,1,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month_to_month,no,electronic_check,19.45,19.45,no
7123-WQUHX,male,no,no,no,38,yes,yes,fiber_optic,no,no,yes,yes,yes,no,one_year,no,bank_transfer_automatic,95.0,3605.6,no
5386-THSLQ,female,yes,yes,no,66,no,no_phone_service,dsl,no,yes,yes,no,yes,no,one_year,no,bank_transfer_automatic,45.55,3027.25,no
3192-NQECA,male,no,yes,no,68,yes,yes,fiber_optic,no,yes,yes,yes,yes,yes,two_year,yes,bank_transfer_automatic,110.0,7611.85,yes
6180-YBIQI,male,no,no,no,5,no,no_phone_service,dsl,no,no,no,no,no,no,month_to_month,no,mailed_check,24.3,100.2,no
6728-DKUCO,female,no,yes,yes,72,yes,yes,fiber_optic,yes,yes,no,no,yes,yes,one_year,yes,electronic_check,104.15,7303.05,no
9750-BOOHV,female,no,no,no,32,no,no_phone_service,dsl,yes,no,no,no,no,no,one_year,no,mailed_check,30.15,927.65,no
8597-CWYHH,male,no,no,no,43,yes,yes,fiber_optic,no,no,no,no,yes,yes,one_year,no,mailed_check,94.35,3921.3,no
2848-YXSMW,male,no,yes,yes,72,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,credit_card_automatic,19.4,1363.25,no
0486-HECZI,male,no,yes,no,55,yes,yes,fiber_optic,yes,yes,no,no,yes,no,month_to_month,yes,electronic_check,96.75,5238.9,yes
4549-ZDQYY,female,no,no,no,52,yes,no,dsl,yes,no,yes,yes,no,no,one_year,no,credit_card_automatic,57.95,3042.25,no
5712-AHQNN,female,no,no,no,43,yes,no,fiber_optic,no,yes,yes,no,yes,no,month_to_month,yes,electronic_check,91.65,3954.1,no
4846-WHAFZ,female,yes,yes,no,37,yes,yes,fiber_optic,no,no,no,no,no,no,month_to_month,yes,electronic_check,76.5,2868.15,yes
5256-SKJGO,female,no,yes,yes,64,no,no_phone_service,dsl,no,yes,no,yes,yes,yes,two_year,yes,electronic_check,54.6,3423.5,no
3071-VBYPO,male,no,yes,yes,3,yes,no,fiber_optic,yes,yes,no,no,yes,no,month_to_month,no,electronic_check,89.85,248.4,no
9560-BBZXK,female,no,no,no,36,no,no_phone_service,dsl,yes,no,no,no,no,no,two_year,no,bank_transfer_automatic,31.05,1126.35,no
5299-RULOA,female,no,yes,yes,10,yes,yes,fiber_optic,yes,no,no,no,yes,yes,month_to_month,yes,electronic_check,100.25,1064.65,yes
8402-OOOHJ,female,no,no,no,41,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,20.65,835.15,no
9445-ZUEQE,male,no,yes,yes,27,yes,yes,fiber_optic,no,yes,no,yes,no,no,month_to_month,yes,credit_card_automatic,85.2,2151.6,no
1091-SOZGA,female,no,yes,yes,56,yes,yes,fiber_optic,no,no,yes,no,yes,yes,one_year,yes,credit_card_automatic,99.8,5515.45,no
2928-HLDBA,female,no,no,no,6,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month_to_month,no,mailed_check,20.7,112.75,no
0404-SWRVG,male,no,no,no,3,yes,yes,fiber_optic,no,no,no,no,no,no,month_to_month,yes,electronic_check,74.4,229.55,yes
6497-TILVL,female,no,yes,yes,7,yes,no,dsl,yes,no,no,no,no,no,month_to_month,no,mailed_check,50.7,350.35,no
7219-TLZHO,female,no,yes,yes,4,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month_to_month,no,mailed_check,20.85,62.9,no
4622-YNKIJ,male,no,no,no,33,yes,no,fiber_optic,yes,no,no,yes,yes,no,two_year,yes,electronic_check,88.95,3027.65,no
